date,primemover_id,time,travel_empty,stopped_empty,loading,travel_loaded,stopped_loaded,dumping,nett_cycle_time
2022-06-06,7008,14:18:34,0.0,20.38,0.0,0.0,19.72,2.37,42.47
2022-06-06,7007,14:53:48,32.67,28.83,9.94,0.57,1.17,2.48,75.65
2022-06-06,7008,15:01:02,0.0,26.2,0.0,0.0,19.72,2.4,48.32
2022-06-06,7008,15:49:21,0.0,34.8,0.0,0.0,23.32,2.51,60.63
2022-06-06,7007,16:09:27,33.01,4.72,4.98,0.47,1.38,2.66,47.2
2022-06-06,7008,16:49:59,0.0,24.51,0.0,0.0,24.01,2.42,50.94
2022-06-06,7007,16:56:39,34.81,21.53,16.47,0.0,0.0,2.63,75.44
2022-06-06,7008,17:40:55,0.0,185.35,0.0,0.0,41.78,2.52,229.64
2022-06-06,7007,18:58:27,33.78,15.03,24.0,0.0,0.0,1.74,74.55
2022-06-06,7007,20:13:00,0.73,0.27,0.0,0.0,0.0,0.97,1.97
2022-06-06,7007,20:14:58,33.86,1.42,13.1,0.0,0.0,2.55,50.93
2022-06-06,7007,21:05:54,34.55,1.07,12.61,0.0,0.0,2.49,50.7
2022-06-06,7007,21:56:36,35.78,0.88,8.77,0.0,0.0,2.88,48.32
2022-06-06,7007,22:44:55,16.07,7.39,7.9,21.71,0.89,2.45,56.42
2022-06-06,7008,22:47:30,0.0,20.47,0.0,0.0,22.58,2.27,45.32
2022-06-06,7008,23:32:49,0.0,0.02,0.0,0.0,0.27,6.82,7.1
2022-06-06,7008,23:39:55,0.0,102.91,0.0,0.0,19.15,2.23,124.29
2022-06-06,7007,23:41:20,17.16,76.63,21.03,21.62,1.2,2.69,140.34
2022-06-07,7008,01:51:07,0.0,26.17,0.0,0.0,19.37,2.26,47.8
2022-06-07,7007,02:04:42,18.71,11.23,5.25,23.52,6.09,2.83,67.67
2022-06-07,7008,02:38:55,0.0,30.47,0.0,0.0,17.27,4.12,51.85
2022-06-07,7007,03:12:22,36.49,1.0,9.37,0.45,0.0,2.52,49.82
2022-06-07,7008,03:30:46,0.0,31.23,0.0,0.0,18.47,2.57,52.27
2022-06-07,7007,04:02:11,17.45,30.51,21.41,26.11,35.69,2.6,133.76
2022-06-07,7008,04:23:02,0.0,90.32,0.0,0.0,14.84,1.35,106.51
2022-06-07,7008,06:28:02,0.0,24.67,0.0,0.0,32.25,2.78,59.71
2022-06-07,7007,07:03:48,15.79,0.35,6.24,21.4,7.57,2.7,54.03
2022-06-07,7007,07:57:50,15.63,2.0,3.63,21.26,2.93,3.13,48.6
2022-06-07,7008,08:01:36,0.0,1.37,0.0,0.0,0.69,1.12,3.17
2022-06-07,7008,08:04:46,0.0,21.03,0.0,0.0,20.94,2.55,44.52
2022-06-07,7007,08:46:26,16.75,8.03,7.13,19.7,2.58,3.13,57.33
2022-06-07,7008,08:49:17,0.0,22.33,0.0,0.0,19.75,2.33,44.42
2022-06-07,7008,09:33:42,0.0,27.4,0.0,0.0,23.07,1.2,51.67
2022-06-07,7007,09:43:46,15.98,1.84,6.46,19.92,5.65,2.83,52.67
2022-06-07,7008,10:25:22,0.0,28.93,0.0,0.0,21.13,2.55,52.62
2022-06-07,7007,10:36:26,35.4,4.52,6.79,0.39,0.42,2.57,50.08
2022-06-07,7008,11:17:59,0.0,0.42,0.0,0.0,0.0,1.32,1.73
2022-06-07,7008,11:19:43,0.0,25.92,0.0,0.0,14.37,2.19,42.46
2022-06-07,7007,11:26:31,30.63,5.86,25.78,37.17,2.9,2.7,105.04
2022-06-07,7008,12:08:18,0.0,32.24,0.0,0.0,21.33,2.2,55.78
2022-06-07,7007,13:50:41,34.57,14.88,8.02,0.82,1.57,2.43,62.28
2022-06-07,7008,13:58:01,0.0,21.89,0.0,0.0,33.53,2.4,57.82
2022-06-07,7007,14:52:58,34.72,1.13,9.61,0.0,0.0,2.8,48.27
2022-06-07,7008,14:55:50,0.0,23.72,0.0,0.0,23.16,2.31,49.2
2022-06-07,7007,15:41:14,17.01,5.77,3.37,21.31,25.0,3.1,75.55
2022-06-07,7008,15:45:02,0.0,47.27,0.0,0.0,25.73,2.26,75.25
2022-06-07,7007,16:56:47,34.12,25.07,12.32,0.43,0.12,2.67,74.72
2022-06-07,7008,17:00:17,0.0,46.38,0.0,0.0,58.78,57.76,162.9
2022-06-07,7007,19:01:05,16.56,1.99,8.36,19.63,1.42,2.68,50.64
2022-06-07,7007,19:51:44,16.52,6.57,6.16,21.28,2.58,2.73,55.85
2022-06-07,7008,20:09:39,0.0,23.66,0.0,0.0,22.1,2.42,48.18
2022-06-07,7007,20:47:35,29.45,9.92,8.62,7.08,0.47,2.64,58.17
2022-06-07,7008,20:57:50,0.0,38.27,0.0,0.0,23.32,2.29,63.87
2022-06-07,7007,21:45:45,17.67,4.82,6.86,21.05,1.56,2.68,54.63
2022-06-07,7008,22:01:42,0.0,23.82,0.0,0.0,20.74,2.4,46.97
